project,sha,author,commit_date,is_bug
'testproject','db3326184c61e66c7df2b0b18eaa0685f5efa5db','Kevin Sawicki','2012-09-11','False'
'testproject','cae3be980c9a8bdff7f2f2cd3ff690a9f33ca40c','Kevin Sawicki','2012-09-11','False'
'testproject','167b1c71c2d374922d8540d9d8da3166aeff6ab8','Kevin Sawicki','2012-09-11','False'
'testproject','2e1315bd053d967fbd0210b80e32532a6f5e11df','Kevin Sawicki','2012-09-11','False'
'testproject','0e4ba6b95e3f5680cae6a10611c288ce6879dabc','Kevin Sawicki','2012-09-11','False'
'testproject','52b6b5faace1b004684774464a87798bf7be5bdc','Kevin Sawicki','2012-09-11','False'
'testproject','a6decb91f6304866fd48e012de06b8b118f23bfb','Kevin Sawicki','2012-09-11','False'
'testproject','6ad86eb895e5a0a602eaff56a6b274154ca834cd','Kevin Sawicki','2012-09-11','False'
'testproject','fd9d22bff8c8675b161f03d9e8881ecd44d22aaa','Kevin Sawicki','2012-09-11','False'
'testproject','34417c8d0aa1a73b4b7924893fd4cab1bf74df9b','Kevin Sawicki','2012-09-10','False'
'testproject','69c3798b348a2c45530c7264f877daddd7166962','Kevin Sawicki','2012-09-10','False'
'testproject','b332518ef78186e23c45768036d08948c599b6a4','Kevin Sawicki','2012-09-10','False'
'testproject','5d5d9382f8c920115cabe1c195d72c1832602edf','Kevin Sawicki','2012-09-10','False'
'testproject','1c0d8c81c7bfbd6ce60b08629b78cd6e586a7cfa','Kevin Sawicki','2012-09-10','False'
'testproject','795c936fb8b01ce1849c3da2939bf4d991f68379','Kevin Sawicki','2012-09-10','False'
'testproject','86d99effef4b17f393e8a05d785013a28cee0340','Kevin Sawicki','2012-09-10','False'
'testproject','eaabbdbd71730839d31b9d728b5c57a2bae7e293','Kevin Sawicki','2012-09-10','False'
'testproject','5431936d9c8555a1752046ddaa4a82777d4a9425','Kevin Sawicki','2012-09-10','False'
'testproject','39a495ed19d5e972b4dd99dbc340a5ef00dfedf7','Kevin Sawicki','2012-09-10','False'
'testproject','47e448af30f1b4ef482e4fbd855b2f33f03985e3','Kevin Sawicki','2012-09-10','False'
'testproject','1d6e305f6251ced4353913ad017115b1e4ff58a7','Kevin Sawicki','2012-09-10','False'
'testproject','a086bc6683e1e86b3d634fdbaff72a974b8acda2','Kevin Sawicki','2012-09-10','False'
'testproject','87f1db178fc878273ae9d1e8adde8f7582fed8a9','Kevin Sawicki','2012-09-10','False'
'testproject','9675d3f744ec23ed256f4a7653ddb88dc3fdf155','Kevin Sawicki','2012-09-10','False'
'testproject','86997e8d726a6c2ad5732ac24bdffca2f5a5f90f','Kevin Sawicki','2012-09-10','False'
'testproject','86629f0e9ccaf973bded8717001f144649218fdc','Kevin Sawicki','2012-09-10','False'
'testproject','a697350ded2dd518cd51e66a79dfd1fc9df299b8','Kevin Sawicki','2012-09-10','False'
'testproject','aa5021a511df80d33ae64c92233fb4152c81e61d','Kevin Sawicki','2012-09-10','False'
'testproject','c81110ecf4e1c5ea36b7fff2f7809a181cd02871','Matt Graham','2012-09-10','False'
'testproject','12a24f543a1278d6aa08483e0a5d16461a37cc26','Kevin Sawicki','2012-09-09','False'
'testproject','05fd2e96ad6595396c3cda4898196b1918e62758','Kevin Sawicki','2012-09-09','False'
'testproject','252d4c161600f578b60dfd613a7e36002fb6a876','Kevin Sawicki','2012-09-09','False'
'testproject','e270656cfb45f71b5bcdb2a7e797597faeff3e9a','Kevin Sawicki','2012-09-07','False'
'testproject','a701daf8a53d4e2c424370d6d4142d34a96fa3b1','Kevin Sawicki','2012-09-07','False'
'testproject','43ef333f03b98a08eedd551af9db1c389e5bc546','Kevin Sawicki','2012-09-07','False'
