project, sha, language, file_name, is_test,bracket_diff,isExceptionPatch, method_name,total_add,total_del,throw Adds,catch Dels,throw Dels,try Adds,try Dels,exception Dels,raise Adds,catch Adds,finally Dels,finally Adds,exception Adds,raise Dels
'testproject','bd4742582fcec091301f9310b321d667b707e9de','java','integration-tests/src/main/java/com/github/mobile/tests/commit/CommitUtilsTest.java','True','0','True','testGetCommitterDate','4','4',0,0,0,0,0,0,0,0,0,0,0,0
'testproject','ce8c70989794647c5d74f3a6ac65a38d0db22988','java','app/src/main/java/com/github/mobile/ui/issue/IssueFragment.java','False','0','True','updateHeader','3','2',0,0,0,0,0,0,0,0,0,0,0,0
'testproject','ce8c70989794647c5d74f3a6ac65a38d0db22988','java','app/src/main/java/com/github/mobile/ui/issue/IssueFragment.java','False','0','True','shareIssue','3','0',0,0,0,0,0,0,0,0,0,0,0,0
'testproject','77c385171bd04a04ae75fe9d35e0dd17a743e411','java','app/src/main/java/com/github/mobile/ui/issue/IssueFragment.java','False','0','True','updateHeader','5','0',0,0,0,0,0,0,0,0,0,0,0,0
'testproject','77c385171bd04a04ae75fe9d35e0dd17a743e411','java','app/src/main/java/com/github/mobile/ui/issue/IssueFragment.java','False','0','True','shareIssue','3','0',0,0,0,0,0,0,0,0,0,0,0,0
'testproject','0c25c3125d44830adb2808ea1930f9b513d75096','java','app/src/main/java/com/github/mobile/core/issue/IssueStore.java','False','0','True','refreshIssue','3','0',0,0,0,3,0,0,0,0,0,0,0,0
'testproject','0c25c3125d44830adb2808ea1930f9b513d75096','java','app/src/main/java/com/github/mobile/ui/issue/IssueFragment.java','False','0','True','onViewCreated','10','0',0,0,0,0,0,0,0,0,0,0,0,0
'testproject','0c25c3125d44830adb2808ea1930f9b513d75096','java','app/src/main/java/com/github/mobile/ui/issue/IssueFragment.java','False','0','True','updateHeader','10','0',0,0,0,0,0,0,0,0,0,0,0,0
'testproject','0c25c3125d44830adb2808ea1930f9b513d75096','java','app/src/main/java/com/github/mobile/ui/issue/IssueFragment.java','False','0','True','shareIssue','3','0',0,0,0,0,0,0,0,0,0,0,0,0
'testproject','0c25c3125d44830adb2808ea1930f9b513d75096','java','app/src/main/java/com/github/mobile/ui/issue/IssueFragment.java','False','0','True','openPullRequestCommits','9','0',0,0,0,0,0,0,0,0,0,0,0,0
'testproject','35a8899621821e818cf6eb8e755afc8b59fea4f7','java','app/src/main/java/com/github/mobile/ui/commit/CommitDiffListFragment.java','False','0','True','addCommitDetails','9','6',0,0,0,0,0,0,0,0,0,0,0,0
'testproject','35a8899621821e818cf6eb8e755afc8b59fea4f7','java','app/src/main/java/com/github/mobile/ui/commit/CommitDiffListFragment.java','False','0','True','showFileOptions','1','0',0,0,0,0,0,0,0,0,0,0,0,0
'testproject','014f68245e33935feec6cc6e498e9bac9a2c05eb','java','app/src/main/java/com/github/mobile/util/AvatarLoader.java','False','0','True','getImageBy','1','0',0,0,0,0,0,0,0,0,0,0,0,0
